
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    172.16.6.188:54328     115.190.249.110:443    CLOSE_WAIT      19572
  TCP    172.16.6.188:54409     101.126.24.87:443      CLOSE_WAIT      19392
  TCP    172.16.6.188:54702     58.218.65.4:443        CLOSE_WAIT      19392
  TCP    172.16.6.188:54718     39.107.193.14:443      CLOSE_WAIT      19392
  TCP    172.16.6.188:54861     115.190.249.116:443    CLOSE_WAIT      3844
  TCP    172.16.6.188:54866     119.3.160.204:11111    ESTABLISHED     3844
  TCP    172.16.6.188:55357     115.190.249.116:443    CLOSE_WAIT      27440
  TCP    172.16.6.188:55663     208.111.40.216:443     ESTABLISHED     5636
  TCP    172.16.6.188:55697     192.200.0.109:443      ESTABLISHED     5636
  TCP    172.16.6.188:55701     199.165.136.100:443    ESTABLISHED     18804
  TCP    172.16.6.188:57726     39.107.192.243:443     CLOSE_WAIT      18732
  TCP    172.16.6.188:57922     180.119.119.155:443    CLOSE_WAIT      18732
  TCP    172.16.6.188:58383     101.126.24.53:443      CLOSE_WAIT      19572
  TCP    172.16.6.188:58399     180.97.241.196:443     CLOSE_WAIT      18732
  TCP    172.16.6.188:58432     101.126.24.53:443      CLOSE_WAIT      18732
  TCP    172.16.6.188:58462     115.190.249.116:443    CLOSE_WAIT      23372
  TCP    172.16.6.188:59046     101.126.24.53:443      CLOSE_WAIT      10084
  TCP    172.16.6.188:59073     39.107.193.14:443      CLOSE_WAIT      21340
  TCP    172.16.6.188:59199     124.70.104.125:443     CLOSE_WAIT      10084
  TCP    172.16.6.188:59204     180.97.241.195:443     CLOSE_WAIT      10084
  TCP    172.16.6.188:59262     115.190.249.110:443    CLOSE_WAIT      13064
  TCP    172.16.6.188:59357     123.57.223.58:443      CLOSE_WAIT      21340
  TCP    172.16.6.188:59360     117.66.42.130:443      CLOSE_WAIT      21340
  TCP    172.16.6.188:59431     123.249.36.234:443     CLOSE_WAIT      19692
  TCP    172.16.6.188:59788     39.107.192.243:443     CLOSE_WAIT      8952
  TCP    172.16.6.188:60070     61.151.226.12:11015    ESTABLISHED     15208
  TCP    172.16.6.188:60477     172.16.6.150:22        ESTABLISHED     14784
  TCP    172.16.6.188:61751     180.97.241.49:443      CLOSE_WAIT      8952
  TCP    172.16.6.188:61898     172.16.6.150:22        ESTABLISHED     23792
  TCP    172.16.6.188:61980     101.126.24.53:443      CLOSE_WAIT      26988
  TCP    172.16.6.188:62015     61.147.216.55:443      CLOSE_WAIT      26988
  TCP    172.16.6.188:62075     101.126.24.53:443      CLOSE_WAIT      26988
  TCP    172.16.6.188:62114     115.190.249.116:443    CLOSE_WAIT      18732
  TCP    172.16.6.188:62121     142.251.170.188:443    ESTABLISHED     24868
  TCP    172.16.6.188:62126     101.126.88.254:443     CLOSE_WAIT      15768
  TCP    172.16.6.188:62812     39.105.32.31:443       CLOSE_WAIT      27440
  TCP    172.16.6.188:62856     58.218.65.1:443        CLOSE_WAIT      27440
  TCP    172.16.6.188:63006     123.57.223.58:443      CLOSE_WAIT      27440
  TCP    172.16.6.188:63038     115.190.210.86:443     CLOSE_WAIT      10084
  TCP    172.16.6.188:63299     192.168.3.92:53796     ESTABLISHED     1124
  TCP    172.16.6.188:63719     172.16.6.150:22        ESTABLISHED     16564
  TCP    172.16.6.188:64218     39.105.32.31:443       CLOSE_WAIT      19692
  TCP    172.16.6.188:64674     39.107.193.14:443      CLOSE_WAIT      19572
  TCP    172.16.6.188:64734     39.91.190.99:443       CLOSE_WAIT      19572
  TCP    172.16.6.188:64815     172.16.6.150:22        ESTABLISHED     11512
